	ACCN	#of members	final_clus_rep
77779	YP_009801662.1	42	YP_009801662.1
73281	YP_009664749.1	42	YP_009664749.1
56461	YP_009281955.1	42	YP_009281955.1
34278	YP_008520245.1	42	YP_008520245.1
93253	YP_010014161.1	42	YP_010014161.1
71195	YP_009620181.1	42	YP_009620181.1
4451	NP_570391.1	42	2GRK_A
21129	YP_005296355.1	42	1M93_B
49537	YP_009200917.1	42	YP_009200917.1
55464	YP_009274805.1	42	YP_009274805.1
24039	YP_006990260.1	42	YP_006990260.1
92864	YP_010001116.1	42	YP_010001116.1
57526	YP_009300692.1	42	YP_009300692.1
569	5TKJ_C	42	5TKJ_C
43860	YP_009140697.1	42	YP_009140697.1
85396	YP_009843553.1	42	YP_009843553.1
92290	YP_009984922.1	42	YP_009984922.1
73818	YP_009701754.1	42	8H2I_cU
55554	YP_009275106.1	42	YP_009275106.1
57474	YP_009293372.1	42	YP_009293372.1
48566	YP_009191533.1	42	YP_009191533.1
66734	YP_009595907.1	42	YP_009595907.1
10972	YP_001648194.2	42	YP_001648194.2
106390	YP_010656684.1	42	YP_010656684.1
70069	YP_009612588.1	42	YP_009612588.1
82738	YP_009823586.1	42	YP_009823586.1
33754	YP_008430811.1	42	YP_008430811.1
3428	NP_108728.1	42	4V96_AA
36435	YP_009006457.1	42	YP_009006457.1
109503	YP_010670382.1	42	YP_010670382.1
94051	YP_010056501.1	42	YP_010056501.1
2635	NP_056664.1	42	3MD2_A
107942	YP_010664214.1	42	6VMH_B
94026	YP_010056095.1	42	YP_010056095.1
91184	YP_009910723.1	42	5CJ1_A
93972	YP_010055199.1	42	YP_010055199.1
17582	YP_004306914.1	42	YP_004306914.1
503	5EF9_A	42	5EF9_A
48486	YP_009190691.1	42	YP_009190691.1
113253	YP_010741145.1	42	YP_010741145.1
63772	YP_009481324.1	42	YP_009481324.1
109498	YP_010670363.1	42	YP_010670363.1
10706	YP_001504269.1	42	YP_001504269.1
104846	YP_010648842.1	42	YP_010648842.1
113209	YP_010740190.1	42	YP_010740190.1
54573	YP_009253933.1	42	6Q1F_5
25485	YP_007006602.1	42	YP_007006602.1
113593	YP_010750563.1	41	YP_010750563.1
88767	YP_009875175.1	41	YP_009875175.1
99805	YP_010112795.1	41	YP_010112795.1
5218	NP_734324.1	41	NP_734324.1
8085	YP_001294426.1	41	YP_001294426.1
117916	YP_784320.1	41	YP_784320.1
86470	YP_009847095.1	41	7Z47_A
53155	YP_009223112.1	41	YP_009223112.1
24040	YP_006990261.1	41	YP_006990261.1
22627	YP_006560956.1	41	YP_006560956.1
4992	NP_690647.1	41	3CSQ_A
44135	YP_009146063.1	41	YP_009146063.1
236	3HEF_A	41	3HEF_A
112689	YP_010685633.1	41	YP_010685633.1
19546	YP_004934222.1	41	6YQ5_A
1036	7SQT_A	41	7SQT_A
13649	YP_002875626.1	41	YP_002875626.1
50226	YP_009207807.1	41	YP_009207807.1
112864	YP_010731557.1	41	YP_010731557.1
91742	YP_009953781.1	41	YP_009953781.1
50344	YP_009208721.1	41	YP_009208721.1
98535	YP_010106573.1	41	1BGT_A
112929	YP_010738135.1	41	7KH1_A6
114759	YP_182357.1	41	6M5V_B
91479	YP_009949695.1	41	YP_009949695.1
74427	YP_009783081.1	41	YP_009783081.1
91464	YP_009949615.1	41	YP_009949615.1
92706	YP_009999754.1	41	YP_009999754.1
26799	YP_007236607.1	41	6V8I_AA
96745	YP_010087740.1	41	1L2M_A
56413	YP_009280725.1	41	YP_009280725.1
58097	YP_009303005.1	41	YP_009303005.1
58100	YP_009303016.1	41	YP_009303016.1
84422	YP_009837691.1	41	YP_009837691.1
104225	YP_010598125.1	41	YP_010598125.1
264	3MIW_A	41	3MIW_A
68152	YP_009600952.1	41	YP_009600952.1
72830	YP_009639645.1	41	YP_009639645.1
18993	YP_004821533.1	41	YP_004821533.1
58647	YP_009316139.1	41	YP_009316139.1
83784	YP_009834112.1	41	YP_009834112.1
58912	YP_009322198.1	41	YP_009322198.1
93913	YP_010054700.1	41	YP_010054700.1
93934	YP_010054850.1	41	YP_010054850.1
59209	YP_009325008.1	41	YP_009325008.1
16025	YP_003986941.1	41	YP_003986941.1
94048	YP_010056449.1	41	YP_010056449.1
59610	YP_009329712.1	41	4W60_A
82880	YP_009824850.1	41	YP_009824850.1
60416	YP_009337654.1	41	6C3R_B
82508	YP_009822455.1	41	YP_009822455.1
94693	YP_010059883.1	41	YP_010059883.1
82376	YP_009821887.1	41	YP_009821887.1
12273	YP_002004037.1	41	YP_002004037.1
65950	YP_009592643.1	41	YP_009592643.1
6793	NP_944406.1	41	6M5V_C
29718	YP_007869874.1	41	YP_007869874.1
30120	YP_008003683.1	41	YP_008003683.1
62661	YP_009448142.1	41	5CYW_B
71185	YP_009620144.1	41	YP_009620144.1
96867	YP_010088675.1	41	YP_010088675.1
20212	YP_004956865.1	41	5YAX_C
63637	YP_009480558.1	41	YP_009480558.1
56763	YP_009286128.1	41	YP_009286128.1
56920	YP_009287851.1	41	YP_009287851.1
4334	NP_536557.1	41	NP_536557.1
4141	NP_203595.1	41	NP_203595.1
31854	YP_008125886.1	41	YP_008125886.1
48980	YP_009196076.1	41	YP_009196076.1
14058	YP_003104803.1	41	YP_003104803.1
77680	YP_009801027.1	41	YP_009801027.1
69015	YP_009609087.1	40	YP_009609087.1
118056	YP_803422.1	40	YP_803422.1
3077	NP_073371.1	40	NP_073371.1
36702	YP_009008062.1	40	YP_009008062.1
29360	YP_007676413.1	40	YP_007676413.1
5157	NP_720293.1	40	NP_720293.1
82507	YP_009822441.1	40	YP_009822441.1
56369	YP_009279994.1	40	YP_009279994.1
31972	YP_008126175.1	40	YP_008126175.1
82623	YP_009823020.1	40	YP_009823020.1
4436	NP_570192.1	40	1OYI_A
25753	YP_007006958.1	40	YP_007006958.1
31971	YP_008126168.1	40	YP_008126168.1
82040	YP_009820720.1	40	YP_009820720.1
62272	YP_009388542.1	40	6LQN_A
20061	YP_004940204.1	40	5VKU_0
3144	NP_076529.1	40	3FHD_A
3104	NP_073703.1	40	2BNK_A
33433	YP_008320349.1	40	YP_008320349.1
109933	YP_010671490.1	40	YP_010671490.1
5092	NP_695109.1	40	NP_695109.1
18421	YP_004421803.1	40	YP_004421803.1
38868	YP_009032244.1	40	YP_009032244.1
18059	YP_004327175.1	40	YP_004327175.1
80930	YP_009816089.1	40	YP_009816089.1
85312	YP_009842668.1	40	YP_009842668.1
24241	YP_007002203.1	40	YP_007002203.1
76496	YP_009796330.1	40	YP_009796330.1
80986	YP_009816358.1	40	YP_009816358.1
35128	YP_008859404.1	40	YP_008859404.1
54535	YP_009252231.1	40	5BQK_A
1721	NP_044968.1	40	NP_044968.1
34277	YP_008520239.1	40	YP_008520239.1
112654	YP_010685243.1	40	YP_010685243.1
77060	YP_009797602.1	40	YP_009797602.1
15320	YP_003933833.1	40	6T5A_E
88166	YP_009856287.1	40	YP_009856287.1
66240	YP_009594973.1	40	YP_009594973.1
69226	YP_009609738.1	40	YP_009609738.1
39722	YP_009046176.1	40	YP_009046176.1
100592	YP_010246410.1	40	YP_010246410.1
92707	YP_009999758.1	40	YP_009999758.1
64793	YP_009507966.1	40	YP_009507966.1
108063	YP_010665092.1	40	YP_010665092.1
93027	YP_010002921.1	40	YP_010002921.1
177	2PUS_A	40	2PUS_A
70454	YP_009615050.1	40	YP_009615050.1
34362	YP_008658447.1	40	YP_008658447.1
73903	YP_009702010.1	40	YP_009702010.1
6864	NP_945260.1	40	NP_945260.1
115422	YP_238590.1	40	4G6D_B
91425	YP_009949446.1	40	YP_009949446.1
93830	YP_010053520.1	40	YP_010053520.1
95203	YP_010078257.1	40	YP_010078257.1
6282	NP_861723.1	40	NP_861723.1
96806	YP_010088054.1	40	5IZE_B
116700	YP_443855.1	40	YP_443855.1
91890	YP_009960629.1	40	YP_009960629.1
116749	YP_473241.1	40	YP_473241.1
186	2SIV_B	40	2SIV_B
10	1BBT_1	40	1BBT_1
117610	YP_717935.1	40	6Y9L_A
44483	YP_009148416.1	40	YP_009148416.1
13392	YP_002456041.1	40	YP_002456041.1
107899	YP_010664069.1	40	tr_A0A1L4BLW8_A0A1L4BLW8_9CAUD
94907	YP_010064540.1	40	YP_010064540.1
117673	YP_758463.1	40	YP_758463.1
113427	YP_010743015.1	40	YP_010743015.1
97040	YP_010090467.1	39	YP_010090467.1
109049	YP_010668422.1	39	YP_010668422.1
77457	YP_009800048.1	39	YP_009800048.1
92717	YP_009999898.1	39	YP_009999898.1
93020	YP_010002890.1	39	YP_010002890.1
57260	YP_009291413.1	39	YP_009291413.1
1918	NP_047110.2	39	6BK6_A
96488	YP_010086333.1	39	YP_010086333.1
93004	YP_010002797.1	39	YP_010002797.1
51753	YP_009217951.1	39	YP_009217951.1
20987	YP_005098374.1	39	YP_005098374.1
56751	YP_009286069.1	39	YP_009286069.1
24163	YP_007001964.1	39	6BBM_V
18916	YP_004782181.1	39	YP_004782181.1
56695	YP_009285822.1	39	YP_009285822.1
85891	YP_009844896.1	39	YP_009844896.1
96242	YP_010084904.1	39	YP_010084904.1
39571	YP_009043854.1	39	YP_009043854.1
92791	YP_010000074.1	39	YP_010000074.1
85976	YP_009845152.1	39	YP_009845152.1
113405	YP_010742915.1	39	YP_010742915.1
71552	YP_009621297.1	39	YP_009621297.1
15918	YP_003986627.1	39	4Z24_A
3116	NP_075192.1	39	NP_075192.1
94599	YP_010059716.1	39	YP_010059716.1
60019	YP_009336558.1	39	5CDD_B
48136	YP_009188558.1	39	YP_009188558.1
48127	YP_009188508.1	39	YP_009188508.1
109965	YP_010671601.1	39	YP_010671601.1
25041	YP_007005590.1	39	5M9F_A
109254	YP_010669494.1	39	YP_010669494.1
94934	YP_010064670.1	39	YP_010064670.1
7426	YP_001039891.1	39	YP_001039891.1
58955	YP_009322584.1	39	YP_009322584.1
105553	YP_010651934.1	39	YP_010651934.1
10872	YP_001552437.1	39	6KU8_A
48438	YP_009189765.1	39	YP_009189765.1
48914	YP_009195580.1	39	YP_009195580.1
93836	YP_010053625.1	39	YP_010053625.1
93795	YP_010053122.1	39	YP_010053122.1
78313	YP_009803136.1	39	YP_009803136.1
33565	YP_008408769.1	39	YP_008408769.1
104614	YP_010647270.1	39	YP_010647270.1
6985	NP_957900.1	39	NP_957900.1
26554	YP_007112086.1	39	YP_007112086.1
93588	YP_010051505.1	39	YP_010051505.1
71728	YP_009622586.1	39	YP_009622586.1
33384	YP_008320272.1	39	YP_008320272.1
14077	YP_003169716.1	39	2VO9_B
45582	YP_009163874.1	39	YP_009163874.1
18349	YP_004421617.1	39	YP_004421617.1
93433	YP_010050665.1	39	YP_010050665.1
113283	YP_010742232.1	39	YP_010742232.1
54835	YP_009268718.1	39	6EA6_A
55413	YP_009274445.1	39	YP_009274445.1
76574	YP_009796708.1	39	YP_009796708.1
52484	YP_009221527.1	39	YP_009221527.1
31832	YP_008125599.1	39	YP_008125599.1
50349	YP_009208813.1	39	YP_009208813.1
53001	YP_009222821.1	39	YP_009222821.1
13308	YP_002333527.1	39	7FJ1_B
63896	YP_009481933.1	39	3GWN_B
92057	YP_009965199.1	39	YP_009965199.1
91818	YP_009957326.1	39	YP_009957326.1
43479	YP_009126643.1	39	YP_009126643.1
51068	YP_009214358.1	39	YP_009214358.1
75446	YP_009789374.1	39	YP_009789374.1
20381	YP_004957424.1	39	YP_004957424.1
5300	NP_775662.1	39	5OW2_B
91441	YP_009949513.1	39	YP_009949513.1
100994	YP_010299083.1	39	6V7U_A
15305	YP_003931.1	39	YP_003931.1
112692	YP_010685747.1	39	YP_010685747.1
55015	YP_009272938.1	39	YP_009272938.1
9814	YP_001468945.1	39	YP_001468945.1
112710	YP_010685995.1	39	YP_010685995.1
79970	YP_009811259.1	39	YP_009811259.1
1273	NP_040152.1	39	1URJ_A
29366	YP_007676421.1	39	YP_007676421.1
112895	YP_010731749.1	39	YP_010731749.1
89462	YP_009882932.1	38	YP_009882932.1
94117	YP_010056833.1	38	YP_010056833.1
94128	YP_010056864.1	38	YP_010056864.1
94106	YP_010056802.1	38	YP_010056802.1
77398	YP_009799885.1	38	YP_009799885.1
2330	NP_048827.1	38	NP_048827.1
67045	YP_009596435.1	38	YP_009596435.1
10973	YP_001648200.2	38	YP_001648200.2
2273	NP_048636.1	38	NP_048636.1
31645	YP_008061199.1	38	YP_008061199.1
31642	YP_008061186.1	38	YP_008061186.1
93908	YP_010054672.1	38	YP_010054672.1
31621	YP_008061151.1	38	YP_008061151.1
110474	YP_010674638.1	38	YP_010674638.1
31620	YP_008061149.1	38	YP_008061149.1
93998	YP_010055681.1	38	YP_010055681.1
42185	YP_009111152.1	38	YP_009111152.1
117231	YP_656338.1	38	8H2J_A
94647	YP_010059818.1	38	YP_010059818.1
51792	YP_009218050.1	38	YP_009218050.1
94471	YP_010059408.1	38	YP_010059408.1
94478	YP_010059455.1	38	YP_010059455.1
2464	NP_050010.3	38	6SCL_A
94482	YP_010059471.1	38	YP_010059471.1
94491	YP_010059510.1	38	YP_010059510.1
94300	YP_010059093.1	38	YP_010059093.1
107212	YP_010660386.1	38	YP_010660386.1
94293	YP_010059064.1	38	YP_010059064.1
94626	YP_010059768.1	38	YP_010059768.1
94637	YP_010059795.1	38	YP_010059795.1
94281	YP_010059037.1	38	YP_010059037.1
94130	YP_010056871.1	38	YP_010056871.1
21424	YP_006382611.1	38	YP_006382611.1
94245	YP_010058943.1	38	YP_010058943.1
94237	YP_010058910.1	38	YP_010058910.1
94233	YP_010058898.1	38	YP_010058898.1
5335	NP_786894.1	38	2M4H_A
37077	YP_009010482.1	38	YP_009010482.1
403	4LDM_A	38	4LDM_A
5409	NP_795692.1	38	NP_795692.1
94135	YP_010056884.1	38	YP_010056884.1
48100	YP_009188425.1	38	YP_009188425.1
12522	YP_002154239.1	38	YP_002154239.1
1173	NP_037676.1	38	NP_037676.1
18119	YP_004327566.1	38	YP_004327566.1
18018	YP_004326985.1	38	YP_004326985.1
57480	YP_009293494.1	38	3UJ3_X
85048	YP_009841732.1	38	YP_009841732.1
43632	YP_009133353.1	38	YP_009133353.1
77049	YP_009797586.1	38	YP_009797586.1
13640	YP_002854704.1	38	YP_002854704.1
24254	YP_007002289.1	38	YP_007002289.1
93010	YP_010002837.1	38	YP_010002837.1
91931	YP_009963645.1	38	YP_009963645.1
6100	NP_852502.1	38	NP_852502.1
56945	YP_009288018.1	38	YP_009288018.1
93001	YP_010002766.1	38	YP_010002766.1
92141	YP_009976840.1	38	YP_009976840.1
97580	YP_010095023.1	38	YP_010095023.1
96579	YP_010086974.1	38	YP_010086974.1
68902	YP_009607541.1	38	YP_009607541.1
6200	NP_859224.1	38	6YP6_A
70757	YP_009616746.1	38	YP_009616746.1
45076	YP_009152038.1	38	YP_009152038.1
12748	YP_002225072.1	38	YP_002225072.1
8091	YP_001294478.1	38	YP_001294478.1
13770	YP_002922802.1	38	YP_002922802.1
115045	YP_214398.1	38	YP_214398.1
29471	YP_007676719.1	38	YP_007676719.1
6400	NP_891688.1	38	NP_891688.1
49190	YP_009198019.1	38	5FB4_A
93124	YP_010013504.1	38	YP_010013504.1
41503	YP_009102757.1	38	YP_009102757.1
21059	YP_005102508.1	38	YP_005102508.1
5758	NP_818209.1	38	NP_818209.1
12533	YP_002154357.1	38	YP_002154357.1
110653	YP_010675371.1	38	YP_010675371.1
5761	NP_818215.1	38	NP_818215.1
70918	YP_009617820.1	38	YP_009617820.1
50468	YP_009209854.1	38	YP_009209854.1
1124	8HDR_1	38	8HDR_1
58407	YP_009304476.1	38	YP_009304476.1
78045	YP_009802354.1	38	YP_009802354.1
14518	YP_003358536.1	38	YP_003358536.1
95500	YP_010081409.1	38	YP_010081409.1
38893	YP_009032574.1	38	YP_009032574.1
22753	YP_006607798.1	38	YP_006607798.1
100661	YP_010246901.1	38	YP_010246901.1
27292	YP_007348560.1	38	YP_007348560.1
48663	YP_009193753.1	38	YP_009193753.1
58252	YP_009303387.1	38	YP_009303387.1
46273	YP_009167661.1	38	YP_009167661.1
15359	YP_003941.1	38	YP_003941.1
95862	YP_010083000.1	38	7ZVI_E
69017	YP_009609089.1	38	YP_009609089.1
103770	YP_010509601.1	38	YP_010509601.1
49098	YP_009197047.1	38	YP_009197047.1
39436	YP_009042687.1	38	YP_009042687.1
94115	YP_010056826.1	38	YP_010056826.1
81418	YP_009818113.1	38	YP_009818113.1
64547	YP_009507351.1	38	YP_009507351.1
63645	YP_009480610.1	38	5EJ0_A
117146	YP_655896.1	38	YP_655896.1
62391	YP_009408001.1	38	YP_009408001.1
53903	YP_009226646.1	37	YP_009226646.1
50647	YP_009211562.1	37	YP_009211562.1
94280	YP_010059036.1	37	YP_010059036.1
91204	YP_009913952.1	37	YP_009913952.1
1951	NP_047443.1	37	NP_047443.1
91210	YP_009914221.1	37	YP_009914221.1
7283	YP_001033981.1	37	6T5A_A
24043	YP_006990316.1	37	YP_006990316.1
116546	YP_401677.1	37	7U1T_A
12520	YP_002154227.1	37	YP_002154227.1
12519	YP_002154207.1	37	YP_002154207.1
72535	YP_009637181.1	37	YP_009637181.1
29905	YP_007877802.1	37	YP_007877802.1
8084	YP_001294423.1	37	YP_001294423.1
116547	YP_401678.1	37	6C5V_B
12523	YP_002154297.1	37	YP_002154297.1
19153	YP_004894388.1	37	YP_004894388.1
103757	YP_010509540.1	37	YP_010509540.1
50961	YP_009213598.1	37	YP_009213598.1
103771	YP_010509603.1	37	YP_010509603.1
7956	YP_001285687.1	37	YP_001285687.1
45253	YP_009158887.1	37	3IYK_A
86702	YP_009848265.1	37	YP_009848265.1
785	6S3Y_A	37	6S3Y_A
58959	YP_009322595.1	37	YP_009322595.1
82786	YP_009824058.1	37	YP_009824058.1
5567	NP_817471.1	37	NP_817471.1
37533	YP_009014077.1	37	YP_009014077.1
92713	YP_009999852.1	37	YP_009999852.1
31646	YP_008061206.1	37	YP_008061206.1
90919	YP_009908196.1	37	YP_009908196.1
8086	YP_001294430.1	37	YP_001294430.1
8090	YP_001294477.1	37	YP_001294477.1
76618	YP_009796813.1	37	YP_009796813.1
15653	YP_003969860.1	37	6NCL_a9
98346	YP_010105309.1	37	YP_010105309.1
36781	YP_009008543.1	37	YP_009008543.1
94282	YP_010059038.1	37	YP_010059038.1
74647	YP_009784372.1	37	YP_009784372.1
67314	YP_009597846.1	37	YP_009597846.1
24237	YP_007002179.1	37	YP_007002179.1
24213	YP_007002126.1	37	YP_007002126.1
12517	YP_002154154.1	37	YP_002154154.1
56931	YP_009287894.1	37	YP_009287894.1
80046	YP_009811993.1	37	YP_009811993.1
109260	YP_010669513.1	37	YP_010669513.1
12757	YP_002225123.1	37	YP_002225123.1
67318	YP_009597918.1	37	YP_009597918.1
78508	YP_009805839.1	37	YP_009805839.1
91702	YP_009952926.1	37	YP_009952926.1
106552	YP_010657394.1	37	YP_010657394.1
43347	YP_009125449.1	37	YP_009125449.1
60338	YP_009337325.1	37	YP_009337325.1
18901	YP_004732986.1	37	8DES_A
111947	YP_010679324.1	37	YP_010679324.1
53920	YP_009226666.1	37	YP_009226666.1
2661	NP_056919.1	37	5E4V_A
91662	YP_009951533.1	37	YP_009951533.1
109501	YP_010670369.1	37	YP_010670369.1
74413	YP_009782434.1	37	YP_009782434.1
8098	YP_001294504.1	37	YP_001294504.1
91642	YP_009951131.1	37	YP_009951131.1
83785	YP_009834114.1	37	YP_009834114.1
39680	YP_009044809.1	37	YP_009044809.1
8094	YP_001294486.1	37	YP_001294486.1
66117	YP_009594473.1	37	YP_009594473.1
772	6Q68_B	37	6Q68_B
48210	YP_009188853.1	37	4V96_AS
65335	YP_009552318.1	37	YP_009552318.1
112782	YP_010719849.1	37	YP_010719849.1
93011	YP_010002839.1	37	YP_010002839.1
95475	YP_010080498.1	37	YP_010080498.1
93127	YP_010013510.1	37	YP_010013510.1
27004	YP_007237558.1	37	YP_007237558.1
95481	YP_010080753.1	37	YP_010080753.1
11452	YP_001837025.1	37	YP_001837025.1
113167	YP_010740096.1	37	YP_010740096.1
72190	YP_009624498.1	37	YP_009624498.1
116221	YP_309025.1	37	YP_309025.1
41032	YP_009099544.1	37	YP_009099544.1
31974	YP_008126185.1	37	YP_008126185.1
28219	YP_007518303.1	37	YP_007518303.1
100650	YP_010246779.1	37	YP_010246779.1
113280	YP_010741990.1	37	YP_010741990.1
95499	YP_010081396.1	37	YP_010081396.1
81966	YP_009820534.1	37	YP_009820534.1
21213	YP_006200855.1	37	YP_006200855.1
2748	NP_061620.1	37	NP_061620.1
75419	YP_009789012.1	37	YP_009789012.1
21211	YP_006200775.1	37	YP_006200775.1
17776	YP_004323265.1	37	YP_004323265.1
64962	YP_009513005.1	37	1LG7_A
70983	YP_009619521.1	37	YP_009619521.1
92721	YP_009999911.1	37	YP_009999911.1
53875	YP_009226541.1	37	YP_009226541.1
75716	YP_009791122.1	37	YP_009791122.1
41223	YP_009100090.1	37	YP_009100090.1
95501	YP_010081484.1	37	YP_010081484.1
82945	YP_009829613.1	37	YP_009829613.1
23516	YP_006986653.1	37	YP_006986653.1
90208	YP_009903208.1	37	YP_009903208.1
23684	YP_006987839.1	37	YP_006987839.1
66432	YP_009595305.1	37	YP_009595305.1
31826	YP_008125543.1	37	YP_008125543.1
59602	YP_009329672.1	37	YP_009329672.1
110166	YP_010672312.1	37	YP_010672312.1
16369	YP_004009884.1	36	YP_004009884.1
1455	NP_042316.1	36	NP_042316.1
77413	YP_009799916.1	36	YP_009799916.1
4488	NP_597784.2	36	NP_597784.2
100615	YP_010246501.1	36	YP_010246501.1
1453	NP_042312.1	36	NP_042312.1
14530	YP_003358680.1	36	YP_003358680.1
4981	NP_689215.1	36	NP_689215.1
117763	YP_762596.1	36	YP_762596.1
1458	NP_042338.1	36	NP_042338.1
90907	YP_009907879.1	36	YP_009907879.1
6990	NP_957948.1	36	NP_957948.1
53708	YP_009225735.1	36	YP_009225735.1
78514	YP_009806189.1	36	YP_009806189.1
95474	YP_010080492.1	36	YP_010080492.1
64564	YP_009507417.1	36	YP_009507417.1
101919	YP_010355371.1	36	YP_010355371.1
65365	YP_009552519.1	36	6LQO_H
76273	YP_009794522.1	36	YP_009794522.1
105384	YP_010651133.1	36	YP_010651133.1
95484	YP_010081006.1	36	YP_010081006.1
95496	YP_010081354.1	36	YP_010081354.1
36740	YP_009008250.1	36	YP_009008250.1
22754	YP_006607812.1	36	YP_006607812.1
6826	NP_944856.1	36	NP_944856.1
88196	YP_009856844.1	36	YP_009856844.1
74665	YP_009784446.1	36	YP_009784446.1
91737	YP_009953566.1	36	YP_009953566.1
95495	YP_010081327.1	36	YP_010081327.1
101906	YP_010355236.1	36	YP_010355236.1
23234	YP_006907842.1	36	YP_006907842.1
50377	YP_009209261.1	36	YP_009209261.1
54461	YP_009246465.1	36	6ZTZ_O
91208	YP_009914122.1	36	YP_009914122.1
99187	YP_010110527.1	36	YP_010110527.1
51808	YP_009218083.1	36	YP_009218083.1
56196	YP_009278612.1	36	YP_009278612.1
11145	YP_001686913.1	36	2WCC_3
75257	YP_009788102.1	36	YP_009788102.1
31619	YP_008061148.1	36	YP_008061148.1
31829	YP_008125583.1	36	YP_008125583.1
90140	YP_009900658.1	36	YP_009900658.1
93792	YP_010053066.1	36	YP_010053066.1
39830	YP_009046777.1	36	YP_009046777.1
2980	NP_066842.1	36	NP_066842.1
82990	YP_009830008.1	36	YP_009830008.1
27182	YP_007238212.1	36	YP_007238212.1
112462	YP_010682390.1	36	YP_010682390.1
55500	YP_009274890.1	36	YP_009274890.1
51343	YP_009216559.1	36	YP_009216559.1
112778	YP_010719842.1	36	YP_010719842.1
89995	YP_009887183.1	36	1OX3_A
41021	YP_009099346.1	36	YP_009099346.1
113529	YP_010749454.1	36	YP_010749454.1
1580	NP_043541.1	36	NP_043541.1
47859	YP_009186702.1	36	YP_009186702.1
89501	YP_009883016.1	36	YP_009883016.1
107986	YP_010664466.1	36	tr_A0A1L4BLX3_A0A1L4BLX3_9CAUD
5789	NP_818327.1	36	NP_818327.1
26793	YP_007236583.1	36	YP_007236583.1
37051	YP_009010255.1	36	YP_009010255.1
75045	YP_009786276.1	36	YP_009786276.1
12294	YP_002014346.1	36	YP_002014346.1
75050	YP_009786310.1	36	YP_009786310.1
24048	YP_006990339.1	36	YP_006990339.1
75052	YP_009786323.1	36	YP_009786323.1
76378	YP_009795396.1	36	YP_009795396.1
43002	YP_009120493.1	36	YP_009120493.1
47731	YP_009179227.1	36	2HD0_A
94710	YP_010060575.1	36	YP_010060575.1
25038	YP_007005579.1	36	YP_007005579.1
26486	YP_007111435.1	36	YP_007111435.1
44001	YP_009143116.1	36	YP_009143116.1
84776	YP_009839464.1	36	YP_009839464.1
49961	YP_009204165.1	36	YP_009204165.1
7150	YP_001004381.1	36	YP_001004381.1
61543	YP_009352940.1	36	YP_009352940.1
92888	YP_010001392.1	36	YP_010001392.1
49244	YP_009199068.1	36	YP_009199068.1
115487	YP_238711.1	36	YP_238711.1
57262	YP_009291467.1	36	YP_009291467.1
78378	YP_009803666.1	36	YP_009803666.1
115482	YP_238699.1	36	YP_238699.1
115476	YP_238690.1	36	YP_238690.1
115428	YP_238604.1	36	YP_238604.1
8092	YP_001294479.1	36	YP_001294479.1
94666	YP_010059848.1	36	YP_010059848.1
115418	YP_238568.1	36	YP_238568.1
45078	YP_009152055.1	36	7Z47_D
104120	YP_010582506.1	36	YP_010582506.1
4280	NP_510910.1	36	NP_510910.1
96667	YP_010087509.1	36	7T7I_A
8093	YP_001294485.1	36	YP_001294485.1
92914	YP_010001597.1	36	YP_010001597.1
96841	YP_010088156.1	36	YP_010088156.1
92903	YP_010001530.1	36	YP_010001530.1
45009	YP_009151654.1	36	YP_009151654.1
97666	YP_010095401.1	36	YP_010095401.1
8087	YP_001294432.1	36	YP_001294432.1
38888	YP_009032459.1	36	YP_009032459.1
8056	YP_001293422.1	36	YP_001293422.1
43661	YP_009134222.1	36	YP_009134222.1
11443	YP_001836981.1	36	YP_001836981.1
61917	YP_009361886.1	36	YP_009361886.1
73539	YP_009665924.1	36	YP_009665924.1
84973	YP_009841157.1	36	YP_009841157.1
71927	YP_009623682.1	36	YP_009623682.1
47968	YP_009187616.1	36	YP_009187616.1
104470	YP_010644691.1	36	8AU1_A
97209	YP_010091758.1	36	YP_010091758.1
8095	YP_001294490.1	36	YP_001294490.1
68149	YP_009600935.1	36	YP_009600935.1
79960	YP_009811114.1	36	YP_009811114.1
36125	YP_009004956.1	36	YP_009004956.1
92074	YP_009965913.1	36	YP_009965913.1
57027	YP_009289703.1	36	YP_009289703.1
81427	YP_009818337.1	35	YP_009818337.1
96130	YP_010084437.1	35	7T7I_B
98870	YP_010107360.1	35	YP_010107360.1
49508	YP_009200660.1	35	YP_009200660.1
99032	YP_010109398.1	35	YP_010109398.1
75375	YP_009788818.1	35	YP_009788818.1
50859	YP_009213100.1	35	4CU5_A
94242	YP_010058931.1	35	YP_010058931.1
817	6VU2_H	35	6VU2_H
64028	YP_009482558.1	35	YP_009482558.1
80980	YP_009816290.1	35	YP_009816290.1
15374	YP_003969050.1	35	YP_003969050.1
58069	YP_009302920.1	35	YP_009302920.1
103768	YP_010509591.1	35	YP_010509591.1
58030	YP_009302706.1	35	YP_009302706.1
5622	NP_817669.1	35	NP_817669.1
76578	YP_009796731.1	35	YP_009796731.1
55741	YP_009276182.1	35	YP_009276182.1
57706	YP_009301537.1	35	YP_009301537.1
55235	YP_009273754.1	35	YP_009273754.1
96933	YP_010089714.1	35	YP_010089714.1
91947	YP_009963684.1	35	YP_009963684.1
82992	YP_009830038.1	35	YP_009830038.1
21219	YP_006201135.1	35	YP_006201135.1
87973	YP_009855449.1	35	YP_009855449.1
5169	NP_733867.1	35	3PHF_1
109390	YP_010670089.1	35	YP_010670089.1
